"","ONTOLOGY","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0006475","BP","GO:0006475","internal protein amino acid acetylation","1/36","158/29008",0.17859487420835,0.264703117130233,0.196387220699031,"Hat1",1
"GO:0018393","BP","GO:0018393","internal peptidyl-lysine acetylation","1/36","158/29008",0.17859487420835,0.264703117130233,0.196387220699031,"Hat1",1
"GO:0000070","BP","GO:0000070","mitotic sister chromatid segregation","1/36","159/29008",0.179619851141747,0.265274869123932,0.196811412095752,"Chmp4c",1
"GO:0070507","BP","GO:0070507","regulation of microtubule cytoskeleton organization","1/36","159/29008",0.179619851141747,0.265274869123932,0.196811412095752,"Chmp4c",1
"GO:0007338","BP","GO:0007338","single fertilization","1/36","161/29008",0.181666075926181,0.266955072476391,0.198057980213937,"Cct7",1
"GO:0010977","BP","GO:0010977","negative regulation of neuron projection development","1/36","162/29008",0.182687326706735,0.266955072476391,0.198057980213937,"Tsc1",1
"GO:0021543","BP","GO:0021543","pallium development","1/36","162/29008",0.182687326706735,0.266955072476391,0.198057980213937,"Tsc1",1
"GO:0050714","BP","GO:0050714","positive regulation of protein secretion","1/36","162/29008",0.182687326706735,0.266955072476391,0.198057980213937,"Aacs",1
"GO:0050768","BP","GO:0050768","negative regulation of neurogenesis","1/36","162/29008",0.182687326706735,0.266955072476391,0.198057980213937,"Dnajb11",1
"GO:1990845","BP","GO:1990845","adaptive thermogenesis","1/36","162/29008",0.182687326706735,0.266955072476391,0.198057980213937,"Igf1r",1
"GO:0046474","BP","GO:0046474","glycerophospholipid biosynthetic process","1/36","163/29008",0.183707338363068,0.267973797612207,0.198813787702145,"Cept1",1
"GO:0055067","BP","GO:0055067","monovalent inorganic cation homeostasis","1/36","164/29008",0.18472611235575,0.268987146061882,0.199565606146101,"Dmxl2",1
"GO:0030879","BP","GO:0030879","mammary gland development","1/36","165/29008",0.185743650143685,0.269052756752633,0.199614283703602,"Igf1r",1
"GO:0045580","BP","GO:0045580","regulation of T cell differentiation","1/36","165/29008",0.185743650143685,0.269052756752633,0.199614283703602,"Sox12",1
"GO:0046887","BP","GO:0046887","positive regulation of hormone secretion","1/36","165/29008",0.185743650143685,0.269052756752633,0.199614283703602,"Aacs",1
"GO:0051961","BP","GO:0051961","negative regulation of nervous system development","1/36","166/29008",0.186759953184105,0.270053590841127,0.200356817554926,"Dnajb11",1
"GO:0042770","BP","GO:0042770","signal transduction in response to DNA damage","1/36","167/29008",0.187775022932575,0.270578592072981,0.200746323858838,"Blm",1
"GO:0043433","BP","GO:0043433","negative regulation of DNA-binding transcription factor activity","1/36","167/29008",0.187775022932575,0.270578592072981,0.200746323858838,"Igf1r",1
"GO:0072175","BP","GO:0072175","epithelial tube formation","1/36","168/29008",0.188788860842995,0.271568032061847,0.201480404256412,"Tsc1",1
"GO:0007254","BP","GO:0007254","JNK cascade","1/36","170/29008",0.190812846956969,0.272589781367098,0.202238455421373,"Igf1r",1
"GO:0018394","BP","GO:0018394","peptidyl-lysine acetylation","1/36","170/29008",0.190812846956969,0.272589781367098,0.202238455421373,"Hat1",1
"GO:0048015","BP","GO:0048015","phosphatidylinositol-mediated signaling","1/36","170/29008",0.190812846956969,0.272589781367098,0.202238455421373,"Igf1r",1
"GO:0071897","BP","GO:0071897","DNA biosynthetic process","1/36","170/29008",0.190812846956969,0.272589781367098,0.202238455421373,"Cct7",1
"GO:1903034","BP","GO:1903034","regulation of response to wounding","1/36","171/29008",0.191822998060012,0.273562007542628,0.202959764632134,"Igf1r",1
"GO:0071478","BP","GO:0071478","cellular response to radiation","1/36","172/29008",0.192831923123987,0.274083283787785,0.203346507312434,"Blm",1
"GO:0002833","BP","GO:0002833","positive regulation of response to biotic stimulus","1/36","173/29008",0.193839623594493,0.274083283787785,0.203346507312434,"Nono",1
"GO:0042552","BP","GO:0042552","myelination","1/36","173/29008",0.193839623594493,0.274083283787785,0.203346507312434,"Tsc1",1
"GO:0048017","BP","GO:0048017","inositol lipid-mediated signaling","1/36","173/29008",0.193839623594493,0.274083283787785,0.203346507312434,"Igf1r",1
"GO:0051896","BP","GO:0051896","regulation of protein kinase B signaling","1/36","173/29008",0.193839623594493,0.274083283787785,0.203346507312434,"Igf1r",1
"GO:0006403","BP","GO:0006403","RNA localization","1/36","174/29008",0.194846100915478,0.274570906213662,0.203708281718443,"Tsc1",1
"GO:0050792","BP","GO:0050792","regulation of viral process","1/36","174/29008",0.194846100915478,0.274570906213662,0.203708281718443,"Vps37b",1
"GO:0007272","BP","GO:0007272","ensheathment of neurons","1/36","176/29008",0.196855391876404,0.275996579826715,0.204766010397753,"Tsc1",1
"GO:0008366","BP","GO:0008366","axon ensheathment","1/36","176/29008",0.196855391876404,0.275996579826715,0.204766010397753,"Tsc1",1
"GO:2001242","BP","GO:2001242","regulation of intrinsic apoptotic signaling pathway","1/36","176/29008",0.196855391876404,0.275996579826715,0.204766010397753,"Nono",1
"GO:0071466","BP","GO:0071466","cellular response to xenobiotic stimulus","1/36","177/29008",0.197858208395981,0.276934760486787,0.205462060728941,"Blm",1
"GO:0048660","BP","GO:0048660","regulation of smooth muscle cell proliferation","1/36","178/29008",0.198859807525313,0.277868081222238,0.206154505409016,"Igf1r",1
"GO:0030902","BP","GO:0030902","hindbrain development","1/36","179/29008",0.199860190700099,0.278796568539634,0.206843364103596,"Igf1r",1
"GO:0046631","BP","GO:0046631","alpha-beta T cell activation","1/36","180/29008",0.200859359354398,0.279720248765353,0.207528656344618,"Blm",1
"GO:0061136","BP","GO:0061136","regulation of proteasomal protein catabolic process","1/36","181/29008",0.201857314920627,0.280639148047103,0.208210401531459,"Psmd14",1
"GO:0007051","BP","GO:0007051","spindle organization","1/36","183/29008",0.203849592510341,0.281522731753049,0.208865945561869,"Chmp4c",1
"GO:0035148","BP","GO:0035148","tube formation","1/36","183/29008",0.203849592510341,0.281522731753049,0.208865945561869,"Tsc1",1
"GO:0042129","BP","GO:0042129","regulation of T cell proliferation","1/36","183/29008",0.203849592510341,0.281522731753049,0.208865945561869,"Blm",1
"GO:0045834","BP","GO:0045834","positive regulation of lipid metabolic process","1/36","183/29008",0.203849592510341,0.281522731753049,0.208865945561869,"Igf1r",1
"GO:0043524","BP","GO:0043524","negative regulation of neuron apoptotic process","1/36","184/29008",0.204843917390467,0.281957630902301,0.209188603776596,"Nono",1
"GO:0048659","BP","GO:0048659","smooth muscle cell proliferation","1/36","184/29008",0.204843917390467,0.281957630902301,0.209188603776596,"Igf1r",1
"GO:0016331","BP","GO:0016331","morphogenesis of embryonic epithelium","1/36","185/29008",0.205837034895807,0.282348726240126,0.209478763285319,"Tsc1",1
"GO:0033044","BP","GO:0033044","regulation of chromosome organization","1/36","185/29008",0.205837034895807,0.282348726240126,0.209478763285319,"Cct7",1
"GO:0017148","BP","GO:0017148","negative regulation of translation","1/36","186/29008",0.206828946450598,0.282348726240126,0.209478763285319,"Tsc1",1
"GO:0035051","BP","GO:0035051","cardiocyte differentiation","1/36","186/29008",0.206828946450598,0.282348726240126,0.209478763285319,"Tsc1",1
"GO:0050796","BP","GO:0050796","regulation of insulin secretion","1/36","186/29008",0.206828946450598,0.282348726240126,0.209478763285319,"Aacs",1
"GO:0043200","BP","GO:0043200","response to amino acid","1/36","187/29008",0.207819653477445,0.282726917846294,0.209759349321601,"Igf1r",1
"GO:0000819","BP","GO:0000819","sister chromatid segregation","1/36","188/29008",0.208809157397323,0.282726917846294,0.209759349321601,"Chmp4c",1
"GO:0001659","BP","GO:0001659","temperature homeostasis","1/36","188/29008",0.208809157397323,0.282726917846294,0.209759349321601,"Igf1r",1
"GO:1902107","BP","GO:1902107","positive regulation of leukocyte differentiation","1/36","188/29008",0.208809157397323,0.282726917846294,0.209759349321601,"Sox12",1
"GO:1903708","BP","GO:1903708","positive regulation of hemopoiesis","1/36","188/29008",0.208809157397323,0.282726917846294,0.209759349321601,"Sox12",1
"GO:0043409","BP","GO:0043409","negative regulation of MAPK cascade","1/36","189/29008",0.209797459629582,0.283551355139893,0.210371011739807,"Igf1r",1
"GO:0006486","BP","GO:0006486","protein glycosylation","1/36","190/29008",0.210784561591945,0.283551355139893,0.210371011739807,"Ddost",1
"GO:0030534","BP","GO:0030534","adult behavior","1/36","190/29008",0.210784561591945,0.283551355139893,0.210371011739807,"Tsc1",1
"GO:0043413","BP","GO:0043413","macromolecule glycosylation","1/36","190/29008",0.210784561591945,0.283551355139893,0.210371011739807,"Ddost",1
"GO:0071824","BP","GO:0071824","protein-DNA complex subunit organization","1/36","192/29008",0.212755170369763,0.285739144671364,0.211994165672477,"Hat1",1
"GO:0098656","BP","GO:0098656","anion transmembrane transport","1/36","194/29008",0.214720995040128,0.28791345053846,0.213607315871907,"Slc35b1",1
"GO:0021915","BP","GO:0021915","neural tube development","1/36","197/29008",0.217660786519718,0.29091538294906,0.215834494641978,"Tsc1",1
"GO:0061351","BP","GO:0061351","neural precursor cell proliferation","1/36","197/29008",0.217660786519718,0.29091538294906,0.215834494641978,"Sox5",1
"GO:0032872","BP","GO:0032872","regulation of stress-activated MAPK cascade","1/36","198/29008",0.21863833716653,0.291648321905598,0.216378273068833,"Igf1r",1
"GO:0031669","BP","GO:0031669","cellular response to nutrient levels","1/36","199/29008",0.219614700230119,0.291648321905598,0.216378273068833,"Tsc1",1
"GO:0045619","BP","GO:0045619","regulation of lymphocyte differentiation","1/36","199/29008",0.219614700230119,0.291648321905598,0.216378273068833,"Sox12",1
"GO:0120032","BP","GO:0120032","regulation of plasma membrane bounded cell projection assembly","1/36","199/29008",0.219614700230119,0.291648321905598,0.216378273068833,"Cep135",1
"GO:0046578","BP","GO:0046578","regulation of Ras protein signal transduction","1/36","200/29008",0.220589877112055,0.292475396170936,0.216991891896002,"Tnfaip1",1
"GO:0006473","BP","GO:0006473","protein acetylation","1/36","201/29008",0.221563869212304,0.292831228417536,0.217255889187392,"Hat1",1
"GO:0070302","BP","GO:0070302","regulation of stress-activated protein kinase signaling cascade","1/36","201/29008",0.221563869212304,0.292831228417536,0.217255889187392,"Igf1r",1
"GO:0046890","BP","GO:0046890","regulation of lipid biosynthetic process","1/36","202/29008",0.222536677929226,0.293183242351202,0.217517053615033,"Igf1r",1
"GO:0060491","BP","GO:0060491","regulation of cell projection assembly","1/36","202/29008",0.222536677929226,0.293183242351202,0.217517053615033,"Cep135",1
"GO:0099173","BP","GO:0099173","postsynapse organization","1/36","204/29008",0.224478750798522,0.29514488126795,0.218972423007928,"Igf1r",1
"GO:0010721","BP","GO:0010721","negative regulation of cell development","1/36","205/29008",0.225448017739615,0.29514488126795,0.218972423007928,"Dnajb11",1
"GO:0043491","BP","GO:0043491","protein kinase B signaling","1/36","205/29008",0.225448017739615,0.29514488126795,0.218972423007928,"Igf1r",1
"GO:2000241","BP","GO:2000241","regulation of reproductive process","1/36","205/29008",0.225448017739615,0.29514488126795,0.218972423007928,"Igf1r",1
"GO:0030307","BP","GO:0030307","positive regulation of cell growth","1/36","206/29008",0.226416106874822,0.295677798047726,0.219367801975802,"Derl2",1
"GO:0021953","BP","GO:0021953","central nervous system neuron differentiation","1/36","207/29008",0.227383019594512,0.295677798047726,0.219367801975802,"Sox5",1
"GO:0006338","BP","GO:0006338","chromatin remodeling","1/36","208/29008",0.228348757287461,0.295677798047726,0.219367801975802,"Hat1",1
"GO:0009566","BP","GO:0009566","fertilization","1/36","208/29008",0.228348757287461,0.295677798047726,0.219367801975802,"Cct7",1
"GO:0032869","BP","GO:0032869","cellular response to insulin stimulus","1/36","208/29008",0.228348757287461,0.295677798047726,0.219367801975802,"Igf1r",1
"GO:0045017","BP","GO:0045017","glycerolipid biosynthetic process","1/36","208/29008",0.228348757287461,0.295677798047726,0.219367801975802,"Cept1",1
"GO:1902905","BP","GO:1902905","positive regulation of supramolecular fiber organization","1/36","208/29008",0.228348757287461,0.295677798047726,0.219367801975802,"Tsc1",1
"GO:0001101","BP","GO:0001101","response to acid chemical","1/36","209/29008",0.229313321340851,0.296003198620383,0.21960922155095,"Igf1r",1
"GO:0034249","BP","GO:0034249","negative regulation of cellular amide metabolic process","1/36","209/29008",0.229313321340851,0.296003198620383,0.21960922155095,"Tsc1",1
"GO:0070085","BP","GO:0070085","glycosylation","1/36","210/29008",0.230276713140279,0.296785204823652,0.220189403705563,"Ddost",1
"GO:0031345","BP","GO:0031345","negative regulation of cell projection organization","1/36","211/29008",0.231238934069752,0.297563279500611,0.220766669001721,"Tsc1",1
"GO:0051216","BP","GO:0051216","cartilage development","1/36","212/29008",0.232199985511689,0.298337442685298,0.221341032302979,"Sox5",1
"GO:0008361","BP","GO:0008361","regulation of cell size","1/36","213/29008",0.23315986884693,0.299107714285861,0.221912508379491,"Tsc1",1
"GO:0042445","BP","GO:0042445","hormone metabolic process","1/36","214/29008",0.234118585454727,0.299412058439789,0.222138305881137,"Igf1r",1
"GO:1903050","BP","GO:1903050","regulation of proteolysis involved in cellular protein catabolic process","1/36","214/29008",0.234118585454727,0.299412058439789,0.222138305881137,"Psmd14",1
"GO:0008654","BP","GO:0008654","phospholipid biosynthetic process","1/36","217/29008",0.2369877486823,0.301686857985136,0.223826013850735,"Cept1",1
"GO:0030522","BP","GO:0030522","intracellular receptor signaling pathway","1/36","217/29008",0.2369877486823,0.301686857985136,0.223826013850735,"Asxl1",1
"GO:0045088","BP","GO:0045088","regulation of innate immune response","1/36","217/29008",0.2369877486823,0.301686857985136,0.223826013850735,"Nono",1
"GO:0032984","BP","GO:0032984","protein-containing complex disassembly","1/36","218/29008",0.237941812141278,0.30243752538631,0.224382945277098,"Igf1r",1
"GO:0002285","BP","GO:0002285","lymphocyte activation involved in immune response","1/36","219/29008",0.238894715745408,0.303184425181481,0.224937081459945,"Tsc1",1
"GO:1901888","BP","GO:1901888","regulation of cell junction assembly","1/36","220/29008",0.239846460864487,0.303927576362632,0.225488436489715,"Tsc1",1
"GO:0042098","BP","GO:0042098","T cell proliferation","1/36","221/29008",0.240797048866741,0.304014514134282,0.225552936929049,"Blm",1
"GO:0048639","BP","GO:0048639","positive regulation of developmental growth","1/36","221/29008",0.240797048866741,0.304014514134282,0.225552936929049,"Igf1r",1
"GO:0007623","BP","GO:0007623","circadian rhythm","1/36","222/29008",0.241746481118827,0.304014514134282,0.225552936929049,"Nono",1
"GO:0016236","BP","GO:0016236","macroautophagy","1/36","222/29008",0.241746481118827,0.304014514134282,0.225552936929049,"Tsc1",1
"GO:2001020","BP","GO:2001020","regulation of response to DNA damage stimulus","1/36","222/29008",0.241746481118827,0.304014514134282,0.225552936929049,"Blm",1
"GO:0010976","BP","GO:0010976","positive regulation of neuron projection development","1/36","224/29008",0.243641883831294,0.305472452537725,0.226634603341241,"Igf1r",1
"GO:0033157","BP","GO:0033157","regulation of intracellular protein transport","1/36","224/29008",0.243641883831294,0.305472452537725,0.226634603341241,"Derl2",1
"GO:0007160","BP","GO:0007160","cell-matrix adhesion","1/36","225/29008",0.244587857017163,0.305994180660949,0.227021681276671,"Tsc1",1
"GO:0007163","BP","GO:0007163","establishment or maintenance of cell polarity","1/36","226/29008",0.245532679903846,0.305994180660949,0.227021681276671,"Igf1r",1
"GO:0010810","BP","GO:0010810","regulation of cell-substrate adhesion","1/36","226/29008",0.245532679903846,0.305994180660949,0.227021681276671,"Tsc1",1
"GO:0016197","BP","GO:0016197","endosomal transport","1/36","226/29008",0.245532679903846,0.305994180660949,0.227021681276671,"Chmp4c",1
"GO:0051495","BP","GO:0051495","positive regulation of cytoskeleton organization","1/36","227/29008",0.246476353850183,0.306709705690632,0.227552540049486,"Tsc1",1
"GO:0030073","BP","GO:0030073","insulin secretion","1/36","230/29008",0.249300495612171,0.308834942325525,0.229129285048107,"Aacs",1
"GO:0090276","BP","GO:0090276","regulation of peptide hormone secretion","1/36","230/29008",0.249300495612171,0.308834942325525,0.229129285048107,"Aacs",1
"GO:1901617","BP","GO:1901617","organic hydroxy compound biosynthetic process","1/36","230/29008",0.249300495612171,0.308834942325525,0.229129285048107,"Ebp",1
"GO:0031668","BP","GO:0031668","cellular response to extracellular stimulus","1/36","231/29008",0.250239587354403,0.309536300304254,0.229649633072909,"Tsc1",1
"GO:0030324","BP","GO:0030324","lung development","1/36","233/29008",0.252114345679963,0.310928539248691,0.230682556069099,"Asxl1",1
"GO:0051056","BP","GO:0051056","regulation of small GTPase mediated signal transduction","1/36","233/29008",0.252114345679963,0.310928539248691,0.230682556069099,"Tnfaip1",1
"GO:0002791","BP","GO:0002791","regulation of peptide secretion","1/36","235/29008",0.253984546116039,0.312747666458212,0.232032193884659,"Aacs",1
"GO:0030323","BP","GO:0030323","respiratory tube development","1/36","236/29008",0.25491794049062,0.312747666458212,0.232032193884659,"Asxl1",1
"GO:0043547","BP","GO:0043547","positive regulation of GTPase activity","1/36","237/29008",0.255850199427862,0.312747666458212,0.232032193884659,"Tsc1",1
"GO:0046777","BP","GO:0046777","protein autophosphorylation","1/36","237/29008",0.255850199427862,0.312747666458212,0.232032193884659,"Igf1r",1
"GO:0071241","BP","GO:0071241","cellular response to inorganic substance","1/36","237/29008",0.255850199427862,0.312747666458212,0.232032193884659,"Blm",1
"GO:0090087","BP","GO:0090087","regulation of peptide transport","1/36","237/29008",0.255850199427862,0.312747666458212,0.232032193884659,"Aacs",1
"GO:0051403","BP","GO:0051403","stress-activated MAPK cascade","1/36","238/29008",0.256781324269564,0.313424263446673,0.232534171358661,"Igf1r",1
"GO:0006470","BP","GO:0006470","protein dephosphorylation","1/36","239/29008",0.257711316355984,0.314097492768673,0.233033650310303,"Tsc1",1
"GO:0006813","BP","GO:0006813","potassium ion transport","1/36","240/29008",0.258640177025843,0.314461719764068,0.233303875791985,"Tsc1",1
"GO:0036293","BP","GO:0036293","response to decreased oxygen levels","1/36","241/29008",0.259567907616328,0.314461719764068,0.233303875791985,"Tsc1",1
"GO:0045664","BP","GO:0045664","regulation of neuron differentiation","1/36","241/29008",0.259567907616328,0.314461719764068,0.233303875791985,"Sox5",1
"GO:0050670","BP","GO:0050670","regulation of lymphocyte proliferation","1/36","241/29008",0.259567907616328,0.314461719764068,0.233303875791985,"Blm",1
"GO:2001234","BP","GO:2001234","negative regulation of apoptotic signaling pathway","1/36","242/29008",0.26049450946309,0.314461719764068,0.233303875791985,"Nono",1
"GO:0016458","BP","GO:0016458","gene silencing","1/36","243/29008",0.26141998390025,0.314461719764068,0.233303875791985,"Hat1",1
"GO:0043543","BP","GO:0043543","protein acylation","1/36","243/29008",0.26141998390025,0.314461719764068,0.233303875791985,"Hat1",1
"GO:0048863","BP","GO:0048863","stem cell differentiation","1/36","243/29008",0.26141998390025,0.314461719764068,0.233303875791985,"Sox5",1
"GO:0060348","BP","GO:0060348","bone development","1/36","243/29008",0.26141998390025,0.314461719764068,0.233303875791985,"Asxl1",1
"GO:0031330","BP","GO:0031330","negative regulation of cellular catabolic process","1/36","245/29008",0.263267555874588,0.315768889271543,0.234273684494423,"Tsc1",1
"GO:0032944","BP","GO:0032944","regulation of mononuclear cell proliferation","1/36","245/29008",0.263267555874588,0.315768889271543,0.234273684494423,"Blm",1
"GO:1903362","BP","GO:1903362","regulation of cellular protein catabolic process","1/36","246/29008",0.264189656072359,0.31641762559893,0.234754991725268,"Psmd14",1
"GO:0031098","BP","GO:0031098","stress-activated protein kinase signaling cascade","1/36","248/29008",0.26603049152915,0.318163267967139,0.23605011003269,"Igf1r",1
"GO:0090068","BP","GO:0090068","positive regulation of cell cycle process","1/36","249/29008",0.266949229439614,0.318802676884719,0.236524497118022,"Igf1r",1
"GO:0034976","BP","GO:0034976","response to endoplasmic reticulum stress","1/36","254/29008",0.271526173704774,0.323802764619199,0.240234137352227,"Derl2",1
"GO:0010001","BP","GO:0010001","glial cell differentiation","1/36","255/29008",0.272438222732618,0.323959491215004,0.240350415169027,"Sox5",1
"GO:0033002","BP","GO:0033002","muscle cell proliferation","1/36","255/29008",0.272438222732618,0.323959491215004,0.240350415169027,"Igf1r",1
"GO:0016485","BP","GO:0016485","protein processing","1/36","256/29008",0.273349161555754,0.32411400584468,0.240465051894911,"Casp4",1
"GO:0090150","BP","GO:0090150","establishment of protein localization to membrane","1/36","256/29008",0.273349161555754,0.32411400584468,0.240465051894911,"Vps37b",1
"GO:0021537","BP","GO:0021537","telencephalon development","1/36","257/29008",0.274258991487028,0.324728905754969,0.2409212553794,"Tsc1",1
"GO:0010506","BP","GO:0010506","regulation of autophagy","1/36","259/29008",0.276075329917844,0.326413851612265,0.242171342033196,"Tsc1",1
"GO:0045444","BP","GO:0045444","fat cell differentiation","1/36","260/29008",0.276981841035551,0.327019812317933,0.242620913387433,"Asxl1",1
"GO:0048705","BP","GO:0048705","skeletal system morphogenesis","1/36","261/29008",0.27788724849773,0.327158037238462,0.242723464533291,"Sox5",1
"GO:0070663","BP","GO:0070663","regulation of leukocyte proliferation","1/36","261/29008",0.27788724849773,0.327158037238462,0.242723464533291,"Blm",1
"GO:0032886","BP","GO:0032886","regulation of microtubule-based process","1/36","262/29008",0.278791553609709,0.327757775490168,0.24316841935542,"Chmp4c",1
"GO:0071375","BP","GO:0071375","cellular response to peptide hormone stimulus","1/36","264/29008",0.280596861996896,0.329413572075563,0.244396879726322,"Igf1r",1
"GO:0031503","BP","GO:0031503","protein-containing complex localization","1/36","265/29008",0.281497867875274,0.330004562622144,0.244835344494552,"Tsc1",1
"GO:0002064","BP","GO:0002064","epithelial cell development","1/36","266/29008",0.2823977766098,0.33012697829033,0.244926166518507,"Asxl1",1
"GO:0060541","BP","GO:0060541","respiratory system development","1/36","266/29008",0.2823977766098,0.33012697829033,0.244926166518507,"Asxl1",1
"GO:0007626","BP","GO:0007626","locomotory behavior","1/36","268/29008",0.284194307837219,0.331759881160185,0.246137641697791,"Tsc1",1
"GO:0048738","BP","GO:0048738","cardiac muscle tissue development","1/36","269/29008",0.285090932921347,0.33233914933247,0.246567409460361,"Tsc1",1
"GO:0009101","BP","GO:0009101","glycoprotein biosynthetic process","1/36","271/29008",0.286880908497383,0.333956737802003,0.247767522655893,"Ddost",1
"GO:0006401","BP","GO:0006401","RNA catabolic process","1/36","272/29008",0.287774261571611,0.3341606932235,0.247918840248253,"Rnaseh1",1
"GO:0006650","BP","GO:0006650","glycerophospholipid metabolic process","1/36","273/29008",0.288666526555723,0.3341606932235,0.247918840248253,"Cept1",1
"GO:0031349","BP","GO:0031349","positive regulation of defense response","1/36","273/29008",0.288666526555723,0.3341606932235,0.247918840248253,"Nono",1
"GO:0098813","BP","GO:0098813","nuclear chromosome segregation","1/36","273/29008",0.288666526555723,0.3341606932235,0.247918840248253,"Chmp4c",1
"GO:0006605","BP","GO:0006605","protein targeting","1/36","275/29008",0.290447797401942,0.335754417609488,0.24910124832156,"Vps37b",1
"GO:0043523","BP","GO:0043523","regulation of neuron apoptotic process","1/36","276/29008",0.29133680583453,0.336313697973101,0.24951618682849,"Nono",1
"GO:1903829","BP","GO:1903829","positive regulation of cellular protein localization","1/36","277/29008",0.292224731317961,0.336870176380428,0.249929046521941,"Cct7",1
"GO:0110053","BP","GO:0110053","regulation of actin filament organization","1/36","279/29008",0.293997338562094,0.338443538150538,0.251096347264508,"Tsc1",1
"GO:0003007","BP","GO:0003007","heart morphogenesis","1/36","284/29008",0.298409994590726,0.342573022835826,0.254160074012629,"Asxl1",1
"GO:0016050","BP","GO:0016050","vesicle organization","1/36","284/29008",0.298409994590726,0.342573022835826,0.254160074012629,"Chmp4c",1
"GO:0030072","BP","GO:0030072","peptide hormone secretion","1/36","285/29008",0.299289302493341,0.343107902029659,0.254556908924985,"Aacs",1
"GO:0046942","BP","GO:0046942","carboxylic acid transport","1/36","288/29008",0.301920802464926,0.345171165352463,0.256087674991999,"Abcc10",1
"GO:0061448","BP","GO:0061448","connective tissue development","1/36","288/29008",0.301920802464926,0.345171165352463,0.256087674991999,"Sox5",1
"GO:0008037","BP","GO:0008037","cell recognition","1/36","290/29008",0.303669795331183,0.346693163858159,0.257216868556783,"Cct7",1
"GO:0002790","BP","GO:0002790","peptide secretion","1/36","293/29008",0.306285299223776,0.348719888005122,0.25872052566011,"Aacs",1
"GO:0030336","BP","GO:0030336","negative regulation of cell migration","1/36","293/29008",0.306285299223776,0.348719888005122,0.25872052566011,"Srgap1",1
"GO:0071496","BP","GO:0071496","cellular response to external stimulus","1/36","295/29008",0.308023659576824,0.350218681436663,0.25983250303164,"Tsc1",1
"GO:0042254","BP","GO:0042254","ribosome biogenesis","1/36","296/29008",0.308891250850994,0.350245543997711,0.259852432769386,"Tsc1",1
"GO:0070482","BP","GO:0070482","response to oxygen levels","1/36","296/29008",0.308891250850994,0.350245543997711,0.259852432769386,"Tsc1",1
"GO:0050708","BP","GO:0050708","regulation of protein secretion","1/36","298/29008",0.310623261863938,0.351728932260666,0.260952980814825,"Aacs",1
"GO:0046883","BP","GO:0046883","regulation of hormone secretion","1/36","302/29008",0.314074632765683,0.35515251389035,0.263492987477305,"Aacs",1
"GO:2000146","BP","GO:2000146","negative regulation of cell motility","1/36","306/29008",0.317509201991219,0.35854780633022,0.266012005964716,"Srgap1",1
"GO:0097193","BP","GO:0097193","intrinsic apoptotic signaling pathway","1/36","307/29008",0.318365228356222,0.359026004803891,0.266366788598956,"Nono",1
"GO:1901653","BP","GO:1901653","cellular response to peptide","1/36","308/29008",0.319220210823006,0.359501729963494,0.266719736244317,"Igf1r",1
"GO:0051402","BP","GO:0051402","neuron apoptotic process","1/36","309/29008",0.320074150628245,0.359974993253988,0.267070857391989,"Nono",1
"GO:0009895","BP","GO:0009895","negative regulation of catabolic process","1/36","311/29008",0.321778907193677,0.36140256153011,0.268129991750304,"Tsc1",1
"GO:0015833","BP","GO:0015833","peptide transport","1/36","314/29008",0.324328252915403,0.363773580972681,0.269889086707696,"Aacs",1
"GO:0051271","BP","GO:0051271","negative regulation of cellular component movement","1/36","315/29008",0.325175962642002,0.364232184875656,0.270229331835459,"Srgap1",1
"GO:0034504","BP","GO:0034504","protein localization to nucleus","1/36","317/29008",0.326868281186876,0.365142225282783,0.27090450449008,"Tbrg1",1
"GO:0051222","BP","GO:0051222","positive regulation of protein transport","1/36","317/29008",0.326868281186876,0.365142225282783,0.27090450449008,"Aacs",1
"GO:0051146","BP","GO:0051146","striated muscle cell differentiation","1/36","320/29008",0.329399025092377,0.366981464196876,0.272269063481513,"Tsc1",1
"GO:1902105","BP","GO:1902105","regulation of leukocyte differentiation","1/36","320/29008",0.329399025092377,0.366981464196876,0.272269063481513,"Sox12",1
"GO:0018108","BP","GO:0018108","peptidyl-tyrosine phosphorylation","1/36","322/29008",0.331081046001233,0.367376026979977,0.272561795539996,"Igf1r",1
"GO:0071214","BP","GO:0071214","cellular response to abiotic stimulus","1/36","322/29008",0.331081046001233,0.367376026979977,0.272561795539996,"Blm",1
"GO:0104004","BP","GO:0104004","cellular response to environmental stimulus","1/36","322/29008",0.331081046001233,0.367376026979977,0.272561795539996,"Blm",1
"GO:0002366","BP","GO:0002366","leukocyte activation involved in immune response","1/36","324/29008",0.332758964921877,0.368744914399409,0.273577393688845,"Tsc1",1
"GO:0018212","BP","GO:0018212","peptidyl-tyrosine modification","1/36","325/29008",0.33359638917452,0.369180004019802,0.273900193216974,"Igf1r",1
"GO:0043087","BP","GO:0043087","regulation of GTPase activity","1/36","326/29008",0.334432791572794,0.369551904199544,0.27417611154944,"Tsc1",1
"GO:0006913","BP","GO:0006913","nucleocytoplasmic transport","1/36","327/29008",0.33526817332802,0.369551904199544,0.27417611154944,"Tsc1",1
"GO:0051169","BP","GO:0051169","nuclear transport","1/36","327/29008",0.33526817332802,0.369551904199544,0.27417611154944,"Tsc1",1
"GO:0002263","BP","GO:0002263","cell activation involved in immune response","1/36","328/29008",0.336102535650121,0.369980244813794,0.274493903888484,"Tsc1",1
